"method","reduction_used","n_cells_total","n_cells_metrics","dims_used","batch_sil_mean","cluster_sil_mean","batch_r2_mean","cluster_r2_mean","score","recommended","overcorrection_flag"
"merged","pca",8048,8048,30,0.00296858436247435,0.172782920831079,0.00161356019047655,0.620108153359323,0.707298497420042,"✅ RECOMMENDED",""
"fastmnn","mnn",8048,8048,30,0.0115940371247999,0.202685078048462,0.00115489041585154,0.263155259829505,0.653010061810719,"",""
"harmony","harmony",8048,8048,30,-0.00015819784568957,0.174652288301137,2.92276330109457e-05,0.240763778901661,0.51247711824218,"",""
"seurat","pca",8048,8048,30,0.0689945493896611,0.210238834804443,0.0152174957143893,0.628355129690674,0.5,"",""
